data;hora;idade;sexo;sit_vitima;log1;tipo_acid;auto;taxi;onibus_urb;onibus_met;onibus_int;caminhao;moto;carroca;bicicleta;outro;lotacao;dia_sem;periododia;fx_et;tipo_veic
11/01/2017 00:00;14:30:00.0000000;27;MASCULINO;CONDUTOR;R CEL CLAUDINO;ABALROAMENTO;1;0;0;0;0;1;0;0;0;0;0;QUARTA-FEIRA;TARDE;26 A 35;AUTOMOVEL
11/01/2017 00:00;07:50:00.0000000;28;FEMININO;PEDESTRE;R GARIBALDI;ATROPELAMENTO;1;0;0;0;0;0;0;0;0;0;0;QUARTA-FEIRA;MANHA;26 A 35;NENHUM
11/01/2017 00:00;19:00:00.0000000;70;FEMININO;PEDESTRE;R GEN LIMA E SILVA;ATROPELAMENTO;1;0;0;0;0;0;0;0;0;0;0;QUARTA-FEIRA;NOITE;60 +;NENHUM
11/01/2017 00:00;08:40:00.0000000;50;FEMININO;PEDESTRE;R VOLUNTARIOS DA PATRIA;ATROPELAMENTO;1;0;0;0;0;0;0;0;0;0;0;QUARTA-FEIRA;MANHA;46 A 59;NENHUM
12/01/2017 00:00;08:00:00.0000000;29;MASCULINO;CONDUTOR;AV BENTO GONCALVES;ABALROAMENTO;2;0;0;0;0;0;1;0;0;0;0;QUINTA-FEIRA;MANHA;26 A 35;MOTOCICLETA
12/01/2017 00:00;11:15:00.0000000;20;MASCULINO;CONDUTOR;AV DR CARLOS BARBOSA;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;QUINTA-FEIRA;MANHA;18 A 25;MOTOCICLETA
12/01/2017 00:00;13:00:00.0000000;31;MASCULINO;CONDUTOR;AV DR CARLOS BARBOSA;ABALROAMENTO;2;0;0;0;0;0;1;0;0;0;0;QUINTA-FEIRA;TARDE;26 A 35;MOTOCICLETA
12/01/2017 00:00;13:00:00.0000000;20;FEMININO;OCUPANTE;AV DR CARLOS BARBOSA;ABALROAMENTO;2;0;0;0;0;0;1;0;0;0;0;QUINTA-FEIRA;TARDE;18 A 25;MOTOCICLETA
12/01/2017 00:00;14:15:00.0000000;37;MASCULINO;CONDUTOR;R DUQUE DE CAXIAS;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;QUINTA-FEIRA;TARDE;36 A 45;MOTOCICLETA
12/01/2017 00:00;17:00:00.0000000;58;FEMININO;OCUPANTE;R JOSE DE ALENCAR;ABALROAMENTO;1;0;1;0;0;0;0;0;0;0;0;QUINTA-FEIRA;TARDE;46 A 59;AUTOMOVEL
